Metro,Year,BP,Jobs
Atlanta-Sandy Springs-Marietta",2009,6533,77020
Atlanta-Sandy Springs-Marietta",2010,7575,78420
Atlanta-Sandy Springs-Marietta",2011,8634,80740
Atlanta-Sandy Springs-Marietta",2012,14380,84220
Atlanta-Sandy Springs-Marietta",2013,24297,92740
Atlanta-Sandy Springs-Roswell",2014,26683,97810
Austin-Round Rock",2009,8758,41560
Austin-Round Rock-San Marcos",2010,8786,43210
Austin-Round Rock-San Marcos",2011,10239,46170
Austin-Round Rock-San Marcos",2012,19563,45910
Austin-Round Rock-San Marcos",2013,20852,50370
Austin-Round Rock",2014,19949,50920
Baltimore-Towson",2009,5115,43960
Baltimore-Towson",2010,5594,44650
Baltimore-Towson",2011,6153,48110
Baltimore-Towson",2012,5956,50650
Baltimore-Towson",2013,8069,55320
Baltimore-Columbia-Towson",2014,7100,56910
Birmingham-Hoover",2009,1807,10140
Birmingham-Hoover",2010,1924,10430
Birmingham-Hoover",2011,2362,10310
Birmingham-Hoover",2012,3301,11430
Birmingham-Hoover",2013,2776,13280
Birmingham-Hoover",2014,3364,12910
Boston-Cambridge-Quincy-NH",2009,5476,85740
Boston-Cambridge-Quincy-NH",2010,6672,87800
Boston-Cambridge-Quincy-NH",2011,6139,91110
Boston-Cambridge-Quincy-NH",2012,8851,98410
Boston-Cambridge-Quincy-NH",2013,12021,95850
Boston-Cambridge-Quincy-NH",2014,12024,96190
Buffalo-Niagara Falls",2009,1367,11280
Buffalo-Niagara Falls",2010,1498,11460
Buffalo-Niagara Falls",2011,1315,12440
Buffalo-Niagara Falls",2012,1252,13220
Buffalo-Niagara Falls",2013,1934,12580
Buffalo-Cheektowaga-Niagara Falls",2014,1878,13170
Charlotte-Gastonia-Concord-SC",2009,7091,24640
Charlotte-Gastonia-Rock Hill-SC",2010,5288,24600
Charlotte-Gastonia-Rock Hill",2011,6446,25770
Charlotte-Gastonia-Rock Hill-SC",2012,12247,27750
Charlotte-Gastonia-Rock Hill",2013,14009,30940
Charlotte-Concord-Gastonia-SC",2014,18537,34620
Chicago-Naperville-Joliet-IN-WI 6097",2009,4383,103930
Chicago-Joliet-Naperville-IN-WI",2010,7267,92330
Chicago-Joliet-Naperville",2011,7593,93430
Chicago-Joliet-Naperville-IN-WI",2012,9357,106420
Chicago-Joliet-Naperville-IN-WI",2013,11627,117020
Chicago-Naperville-Elgin-IN-WI",2014,15679,125170
Cincinnati-Middletown-KY-IN",2009,3515,28200
Cincinnati-Middletown-KY-IN",2010,3206,26390
Cincinnati-Middletown",2011,3369,28070
Cincinnati-Middletown-KY-IN",2012,3604,28510
Cincinnati-Middletown-KY-IN",2013,4330,28950
Cincinnati-KY-IN",2014,5206,29220
Cleveland-Elyria-Mentor",2009,2069,22960
Cleveland-Elyria-Mentor",2010,1941,22150
Cleveland-Elyria-Mentor",2011,1767,23790
Cleveland-Elyria-Mentor",2012,2332,27530
Cleveland-Elyria-Mentor",2013,2741,27930
Cleveland-Elyria",2014,2900,27610
Columbus",2009,4059,40310
Columbus",2010,4444,38030
Columbus",2011,4730,41040
Columbus",2012,6811,38240
Columbus",2013,8363,40010
Columbus",2014,7044,38300
Dallas-Fort Worth-Arlington",2009,20370,88920
Dallas-Fort Worth-Arlington",2010,19558,83880
Dallas-Fort Worth-Arlington",2011,24827,87960
Dallas-Fort Worth-Arlington",2012,35042,95060
Dallas-Fort Worth-Arlington",2013,37910,102050
Dallas-Fort Worth-Arlington",2014,41418,109260
Denver-Aurora-Broomfield",2009,4112,54700
Denver-Aurora-Broomfield",2010,5042,54320
Denver-Aurora-Broomfield",2011,6673,54680
Denver-Aurora-Broomfield",2012,13760,56030
Denver-Aurora-Broomfield",2013,15475,58310
Denver-Aurora-Lakewood",2014,15767,61660
Detroit-Warren-Livonia",2009,1333,16450
Detroit-Warren-Livonia",2010,3210,15580
Detroit-Warren-Livonia",2011,3366,16400
Detroit-Warren-Livonia",2012,4525,20060
Detroit-Warren-Livonia",2013,6352,21240
Detroit-Warren-Dearborn",2014,6295,23460
Hartford-West Hartford-East Hartford 1338",2009,1011,20140
Hartford-West Hartford-East Hartford 1279",2010,1067,18830
Hartford-West Hartford-East Hartford",2011,1123,18460
Hartford-West Hartford-East Hartford323",2012,939,19590
Hartford-West Hartford-East Hartford479",2013,959,20110
Hartford-West Hartford-East Hartford393",2014,754,20920
Houston-Sugar Land-Baytown",2009,27326,62320
Houston-Sugar Land-Baytown",2010,27452,61690
Houston-Sugar Land-Baytown",2011,31271,64920
Houston-Sugar Land-Baytown",2012,43290,69940
Houston-Sugar Land-Baytown",2013,51333,75570
Houston-The Woodlands-Sugar Land 63741",2014,38315,82490
Indianapolis-Carmel",2009,5600,23030
Indianapolis-Carmel",2010,5921,23380
Indianapolis-Carmel",2011,5259,23980
Indianapolis-Carmel",2012,4994,24870
Indianapolis-Carmel",2013,8151,26970
Indianapolis-Carmel-Anderson",2014,8006,28370
Jacksonville",2009,4666,14690
Jacksonville",2010,3606,15890
Jacksonville",2011,3911,15240
Jacksonville",2012,7166,15520
Jacksonville",2013,7358,16300
Jacksonville",2014,7781,15570
Kansas City-KS",2009,3406,33850
Kansas City-KS",2010,2714,32190
Kansas City-KS",2011,3287,32810
Kansas City-KS",2012,4981,35590
Kansas City-KS",2013,7532,36050
Kansas City-KS",2014,8201,37710
Las Vegas-Paradise",2009,5688,9420
Las Vegas-Paradise",2010,5474,9600
Las Vegas-Paradise",2011,5147,10190
Las Vegas-Paradise",2012,7375,10480
Las Vegas-Paradise",2013,8573,11110
Las Vegas-Henderson-Paradise",2014,10036,11370
Los Angeles-Long Beach-Santa Ana 7281",2009,3609,86850
Los Angeles-Long Beach-Santa Ana",2010,10394,89060
